Month,Date,Time,Unit.code,ID.code,Sex,Diet.Item,Season
February,2/7/2015,10:12:55 AM,3,5,male,graminoid.underground,dry
February,2/7/2015,10:13:32 AM,3,1,female,graminoid.underground,dry
February,2/7/2015,10:22:52 AM,3,45,female,graminoid.underground,dry
February,2/7/2015,10:23:02 AM,3,1,female,unidentified.underground,dry
February,2/7/2015,10:23:10 AM,3,5,male,graminoid.underground,dry
February,2/7/2015,10:32:40 AM,3,5,male,unidentified.underground,dry
February,2/7/2015,10:33:02 AM,3,45,female,graminoid.underground,dry
February,2/7/2015,10:33:15 AM,3,1,female,graminoid.underground,dry
February,2/7/2015,10:42:37 AM,3,45,female,graminoid.underground,dry
February,2/7/2015,10:43:04 AM,3,1,female,graminoid.underground,dry
February,2/7/2015,10:52:43 AM,3,5,male,graminoid.leaves,dry
February,2/7/2015,10:53:01 AM,3,1,female,graminoid.leaves,dry
February,2/7/2015,10:57:03 AM,1,8,female,graminoid.leaves,dry
February,2/7/2015,10:57:23 AM,1,38,female,graminoid.leaves,dry
February,2/7/2015,10:57:49 AM,1,51,male,graminoid.leaves,dry
February,2/7/2015,10:58:09 AM,1,14,female,graminoid.leaves,dry
February,2/7/2015,10:58:19 AM,1,11,female,graminoid.leaves,dry
February,2/7/2015,10:58:32 AM,1,20,female,graminoid.leaves,dry
February,2/7/2015,11:06:40 AM,1,14,female,unidentified.underground,dry
February,2/7/2015,11:07:19 AM,1,11,female,graminoid.leaves,dry
February,2/7/2015,11:07:37 AM,1,51,male,unidentified.underground,dry
February,2/7/2015,11:08:00 AM,1,8,female,graminoid.leaves,dry
February,2/7/2015,11:17:29 AM,1,8,female,graminoid.leaves,dry
February,2/7/2015,11:17:38 AM,1,51,male,graminoid.leaves,dry
February,2/7/2015,11:18:09 AM,1,20,female,graminoid.leaves,dry
February,2/7/2015,11:19:06 AM,1,38,female,graminoid.leaves,dry
February,2/7/2015,11:19:23 AM,1,11,female,graminoid.leaves,dry
February,2/7/2015,11:27:26 AM,1,38,female,unidentified.underground,dry
February,2/7/2015,11:36:58 AM,1,14,female,forb.leaves,dry
February,2/7/2015,11:46:59 AM,1,11,female,graminoid.leaves,dry
February,2/7/2015,11:47:11 AM,1,20,female,unidentified.underground,dry
February,2/7/2015,11:47:26 AM,1,51,male,unidentified.underground,dry
February,2/7/2015,11:57:31 AM,1,11,female,unidentified.underground,dry
February,2/7/2015,11:58:09 AM,1,51,male,graminoid.leaves,dry
February,2/7/2015,11:58:17 AM,1,20,female,graminoid.leaves,dry
February,2/7/2015,11:59:42 AM,1,38,female,unidentified.underground,dry
February,2/7/2015,12:07:10 PM,1,38,female,graminoid.leaves,dry
February,2/7/2015,12:07:25 PM,1,8,female,graminoid.leaves,dry
February,2/9/2015,9:31:12 AM,6,40,female,graminoid.leaves,dry
February,2/9/2015,9:49:42 AM,6,44,female,unidentified.underground,dry
February,2/9/2015,9:50:17 AM,6,49,female,graminoid.leaves,dry
February,2/9/2015,9:50:37 AM,6,28,male,unidentified.underground,dry
February,2/9/2015,9:50:58 AM,6,32,female,unidentified.underground,dry
February,2/9/2015,9:51:34 AM,6,40,female,unidentified.underground,dry
February,2/9/2015,9:51:57 AM,6,25,female,unidentified.underground,dry
February,2/9/2015,10:00:01 AM,6,44,female,unidentified.underground,dry
February,2/9/2015,10:00:11 AM,6,32,female,unidentified.underground,dry
February,2/9/2015,10:09:44 AM,6,49,female,unidentified.underground,dry
February,2/9/2015,10:10:21 AM,6,34,female,unidentified.underground,dry
February,2/9/2015,10:10:57 AM,6,44,female,unidentified.underground,dry
February,2/9/2015,10:11:20 AM,6,33,female,unidentified.underground,dry
February,2/9/2015,10:19:34 AM,6,33,female,forb.leaves,dry
February,2/9/2015,10:19:52 AM,6,28,male,unidentified.underground,dry
February,2/9/2015,10:32:03 AM,8,29,female,unidentified.underground,dry
February,2/9/2015,10:32:25 AM,8,17,male,forb.leaves,dry
February,2/9/2015,10:32:46 AM,8,24,male,forb.leaves,dry
February,2/9/2015,10:33:14 AM,8,46,female,unidentified.underground,dry
February,2/9/2015,10:33:30 AM,8,42,male,unidentified.underground,dry
February,2/9/2015,10:42:00 AM,8,29,female,forb.leaves,dry
February,2/9/2015,10:42:27 AM,8,17,male,forb.roots,dry
February,2/9/2015,10:42:43 AM,8,24,male,unidentified.underground,dry
February,2/9/2015,10:43:34 AM,8,46,female,graminoid.leaves,dry
February,2/9/2015,10:52:12 AM,8,29,female,forb.leaves,dry
February,2/9/2015,10:52:25 AM,8,46,female,graminoid.leaves,dry
February,2/9/2015,10:53:05 AM,8,42,male,unidentified.underground,dry
February,2/9/2015,10:53:30 AM,8,24,male,unidentified.underground,dry
February,2/9/2015,10:53:39 AM,8,17,male,unidentified.underground,dry
February,2/9/2015,11:02:02 AM,8,29,female,unidentified.underground,dry
February,2/19/2015,9:15:47 AM,8,29,female,graminoid.underground,dry
February,2/19/2015,9:16:00 AM,8,46,female,graminoid.underground,dry
February,2/19/2015,9:16:14 AM,8,24,male,graminoid.underground,dry
February,2/19/2015,9:16:23 AM,8,17,male,graminoid.underground,dry
February,2/19/2015,9:25:34 AM,8,46,female,graminoid.underground,dry
February,2/19/2015,9:25:51 AM,8,29,female,graminoid.underground,dry
February,2/19/2015,9:26:09 AM,8,24,male,graminoid.underground,dry
